,date,Loads (kg),Concentration (mg/L),Flow (ML),Q (m3/s),Load (t),water_year,normalized_flow,normalized_DIN_load,cum_flow,cum_din_load
486,2010-10-30,23.514,0.817878261,28.75,0.3328,0.023514,2010,4.586426564296009e-05,0.00023637401441603436,0.023762430380511616,0.06438018123855418
487,2010-10-31,23.036,0.793250689,29.04,0.3361,0.023036,2010,4.631904952703993e-05,0.0002315689289822135,0.023808749430038655,0.0646117501675364
488,2010-11-01,20.007,0.781218274,25.61,0.2964,0.020007,2010,4.084786158826133e-05,0.0002011199671013694,0.023849597291626917,0.06481287013463777
489,2010-11-02,18.668,0.764142448,24.43,0.2827,0.018668,2010,3.8959819402839e-05,0.00018765969639867865,0.023888557111029756,0.06500052983103644
490,2010-11-03,17.76,0.74,24.0,0.2778,0.01776,2010,3.828453424162955e-05,0.00017853204457041639,0.023926841645271386,0.06517906187560686
491,2010-11-04,19.311,0.705811404,27.36,0.3167,0.019311,2010,4.364547154184333e-05,0.00019412344103036656,0.023970487116813228,0.06537318531663723
492,2010-11-05,21.209,0.666321081,31.83,0.3683,0.021209,2010,5.075663772927345e-05,0.00021320304804583112,0.024021243754542503,0.06558638836468306
493,2010-11-06,21.599,0.641110122,33.69,0.3899,0.021599,2010,5.3733404970523263e-05,0.0002171235152407896,0.024074977159513025,0.06580351187992385
494,2010-11-07,21.467,0.613518148,34.99,0.405,0.021467,2010,5.581438577343401e-05,0.00021579658788249594,0.02413079154528646,0.06601930846780635
495,2010-11-08,45.528,0.585945946,77.7,0.8992,0.045528,2010,0.0001239217177468441,0.00045766930885145923,0.024254713263033304,0.0664769777766578
496,2010-11-09,64.039,0.568275801,112.69,1.3043,0.064039,2010,0.0001797498848500987,0.0006437507658921674,0.024434463147883403,0.06712072854254997
497,2010-11-10,55.147,0.542892302,101.58,1.1756,0.055147,2010,0.00016201331337098522,0.0005543641138471144,0.024596476461254388,0.06767509265639708
498,2010-11-11,128.96,0.549912584,234.51,2.7142,0.12896,2010,0.00037405285399075207,0.0012963678191329332,0.02497052931524514,0.06897146047553002
499,2010-11-12,127.5,0.653343582,195.15,2.2587,0.1275,2010,0.0003112788966579146,0.0012816911983518067,0.025281808211903053,0.07025315167388183
500,2010-11-13,203.59,0.770444655,264.25,3.0584,0.20359,2010,0.00042148819123326065,0.0020465844005681908,0.025703296403136313,0.07229973607445002
501,2010-11-14,211.9,0.880093035,240.77,2.7867,0.2119,2010,0.0003840443181106878,0.0021301205092607673,0.026087340721247004,0.07442985658371078
502,2010-11-15,631.73,1.024969984,616.34,7.1336,0.63173,2010,0.0009831049440823922,0.006350453182233622,0.027070445665329394,0.0807803097659444
503,2010-11-16,1913.1,1.097804506,1742.66,20.1697,1.9131,2010,0.0027796528808257575,0.019231399463269346,0.02985009854615515,0.10001170922921375
504,2010-11-17,662.95,0.765734548,865.77,10.0205,0.66295,2010,0.0013809581546733222,0.006664291607430041,0.031231056700828475,0.10667600083664379
505,2010-11-18,525.89,0.53491944,983.12,11.3787,0.52589,2010,0.0015681361762967248,0.005286498700401816,0.0327991928771252,0.11196249953704561
506,2010-11-19,900.7,0.542521729,1660.21,19.2154,0.9007,2010,0.0026481376503477622,0.009054268724356645,0.03544733052747296,0.12101676826140226
507,2010-11-20,4036.6,0.417134271,9676.98,112.002,4.0366,2010,0.01543536502566952,0.040577840715818846,0.05088269555314248,0.1615946089772211
508,2010-11-21,3081.2,0.223686102,13774.66,159.429,3.0812,2010,0.021971436319685952,0.030973701336169307,0.07285413187282844,0.1925683103133904
509,2010-11-22,1206.2,0.138908402,8683.42,100.5025,1.2062,2010,0.01385058100294951,0.012125301360407445,0.08670471287577794,0.20469361167379785
510,2010-11-23,623.5,0.141286146,4413.03,51.0767,0.6235,2010,0.007039048488478906,0.006267721271940012,0.09374376136425686,0.21096133294573785
