Data Source,Region,Basin,Catchment,Site Code,Site Name,Latitude,Longitude,Datum,Sample Reference,Sampling Year,Datetime,Collection Method,Sampling Depth (m),Laboratory,Analysis Method,Analyte Group,Analyte,Operator,NH4,Unit,Quality Code,Comment,Project Name,Project Description,NOX,DIN,CrossSectional,SampleProcessing
WQI,Mackay Whitsunday,Plane,Plane Creek,126001A,Sandy Creek at Homebush,-21.283276,149.022513,GDA2020,232029,2010-2011,30/11/2010 15:30,Manual,NA,Chemistry Centre,Segmented flow analysis of 0.45 micrometres filtered water samples,Total Suspended Solids & Nutrients,Ammonium nitrogen as N,NA,0.021,Milligrams/Litre,125,NA,NA,NA,0.145,0.166,High flow,Optimal
WQI,Mackay Whitsunday,Plane,Plane Creek,126001A,Sandy Creek at Homebush,-21.283276,149.022513,GDA2020,232030,2010-2011,12/01/2010 8:45,Manual,NA,Chemistry Centre,Segmented flow analysis of 0.45 micrometres filtered water samples,Total Suspended Solids & Nutrients,Ammonium nitrogen as N,NA,0.016,Milligrams/Litre,125,NA,NA,NA,0.078,0.094,High flow,Optimal
WQI,Mackay Whitsunday,Plane,Plane Creek,126001A,Sandy Creek at Homebush,-21.283276,149.022513,GDA2020,232037,2010-2011,12/01/2010 14:55,Manual,NA,Chemistry Centre,Segmented flow analysis of 0.45 micrometres filtered water samples,Total Suspended Solids & Nutrients,Ammonium nitrogen as N,NA,0.019,Milligrams/Litre,125,NA,NA,NA,0.069,0.088,High flow,Optimal
WQI,Mackay Whitsunday,Plane,Plane Creek,126001A,Sandy Creek at Homebush,-21.283276,149.022513,GDA2020,232038,2010-2011,12/02/2010 9:00,Manual,NA,Chemistry Centre,Segmented flow analysis of 0.45 micrometres filtered water samples,Total Suspended Solids & Nutrients,Ammonium nitrogen as N,<,0.002,Milligrams/Litre,125,NA,NA,NA,0.034,0.036,High flow,Optimal
WQI,Mackay Whitsunday,Plane,Plane Creek,126001A,Sandy Creek at Homebush,-21.283276,149.022513,GDA2020,232045,2010-2011,12/02/2010 15:05,Manual,NA,Chemistry Centre,Segmented flow analysis of 0.45 micrometres filtered water samples,Total Suspended Solids & Nutrients,Ammonium nitrogen as N,NA,0.013,Milligrams/Litre,125,NA,NA,NA,0.055,0.068,High flow,Optimal
WQI,Mackay Whitsunday,Plane,Plane Creek,126001A,Sandy Creek at Homebush,-21.283276,149.022513,GDA2020,232046,2010-2011,12/03/2010 9:05,Manual,NA,Chemistry Centre,Segmented flow analysis of 0.45 micrometres filtered water samples,Total Suspended Solids & Nutrients,Ammonium nitrogen as N,NA,0.016,Milligrams/Litre,125,NA,NA,NA,0.061,0.077,High flow,Optimal
WQI,Mackay Whitsunday,Plane,Plane Creek,126001A,Sandy Creek at Homebush,-21.283276,149.022513,GDA2020,232053,2010-2011,12/03/2010 15:10,Manual,NA,Chemistry Centre,Segmented flow analysis of 0.45 micrometres filtered water samples,Total Suspended Solids & Nutrients,Ammonium nitrogen as N,NA,0.011,Milligrams/Litre,125,NA,NA,NA,0.053,0.064,High flow,Optimal
WQI,Mackay Whitsunday,Plane,Plane Creek,126001A,Sandy Creek at Homebush,-21.283276,149.022513,GDA2020,232054,2010-2011,12/06/2010 8:45,Manual,NA,Chemistry Centre,Segmented flow analysis of 0.45 micrometres filtered water samples,Total Suspended Solids & Nutrients,Ammonium nitrogen as N,NA,0.022,Milligrams/Litre,125,NA,NA,NA,0.177,0.199,High flow,Optimal
WQI,Mackay Whitsunday,Plane,Plane Creek,126001A,Sandy Creek at Homebush,-21.283276,149.022513,GDA2020,232070,2010-2011,12/07/2010 8:50,Manual,NA,Chemistry Centre,Segmented flow analysis of 0.45 micrometres filtered water samples,Total Suspended Solids & Nutrients,Ammonium nitrogen as N,NA,0.014,Milligrams/Litre,125,NA,NA,NA,0.057,0.071,High flow,Optimal
WQI,Mackay Whitsunday,Plane,Plane Creek,126001A,Sandy Creek at Homebush,-21.283276,149.022513,GDA2020,232075,2010-2011,12/07/2010 15:55,Manual,NA,Chemistry Centre,Segmented flow analysis of 0.45 micrometres filtered water samples,Total Suspended Solids & Nutrients,Ammonium nitrogen as N,NA,0.014,Milligrams/Litre,125,NA,NA,NA,0.071,0.085,High flow,Optimal
WQI,Mackay Whitsunday,Plane,Plane Creek,126001A,Sandy Creek at Homebush,-21.283276,149.022513,GDA2020,232076,2010-2011,12/08/2010 8:50,Manual,NA,Chemistry Centre,Segmented flow analysis of 0.45 micrometres filtered water samples,Total Suspended Solids & Nutrients,Ammonium nitrogen as N,NA,0.015,Milligrams/Litre,125,NA,NA,NA,0.076,0.091,High flow,Optimal
